UI_20150317_000001	{@st41b}เรียนรู้แอตทริบิวต์{nl}จาก Master ของแต่ละอาชีพ{/}
UI_20150317_000002	{@st43}รายชื่อแอตทริบิวต์ {/}
UI_20150317_000003	{@st59}ปิด{/}
UI_20150317_000004	{@st43}เรียนรู้แอตทริบิวต์{/}
UI_20150317_000005	{@st59}ปิด{/}
UI_20150317_000006	{@st41b}Silver{/}
UI_20150317_000007	ความสำเร็จของฉัน
UI_20150317_000008	อันดับของเซิร์ฟเวอร์
UI_20150317_000009	{@st59}มีกิจกรรมที่ไม่ทราบล่วงหน้าให้เข้าร่วม{/}
UI_20150317_000010	{@st59}มีข้อความช่วยเหลือใหม่{/}
UI_20150317_000011	{@st41}คุณแน่ใจหรือว่าต้องการสร้างลูกธนูชนิดนี้?{/}
UI_20150317_000012	{@st41b}ครั้งเดียว{/}
UI_20150317_000013	{@st41b}ทั้งหมด{/}
UI_20150317_000014	{@st41b}หยุดชั่วคราว{/}
UI_20150317_000015	{@st43}บันทึกการผจญภัย{/}
UI_20150317_000016	{@st43}ระบบประมูลไอเทม{/}
UI_20150317_000017	{@st59}ปิด{/}
UI_20150317_000018	{@st41b}ไอเทมที่ขายแล้ว : ×%s, ไอเทมที่ยังไม่ได้ขาย : ×%s{/}
UI_20150317_000019	{@st43}{s22}การประมูลไอเทม{/}
UI_20150317_000020	{@st59}ปิด{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}เวลาคงเหลือ
UI_20150317_000023	3 ชั่วโมง 16 นาที
UI_20150317_000024	{@st41b}ราคาเริ่มต้น
UI_20150317_000025	{@st41b}ประมูล
UI_20150317_000026	{@st41b}ราคาขณะนี้
UI_20150317_000027	{@st41b}ราคาประมูล
UI_20150317_000028	{@st41b}ราคาประมูลขั้นต่ำ {@st57}%s{@st41b} Silver{/}
UI_20150317_000029	{@st41b}ประมูล{/}
UI_20150317_000030	{@st43b}ซื้อเลย!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}ตั้งค่าสิทธิ์{/}
UI_20150317_000032	{@st45}ชื่อ: %s{/}
UI_20150317_000033	{@st45}คลังเก็บของปาร์ตี้{/}
UI_20150317_000034	{@st49}ไม่มี
UI_20150317_000035	{@st49}ร้านค้า
UI_20150317_000036	{@st49}รับ
UI_20150317_000037	{@st45}สำรวจ{/}
UI_20150317_000038	{@st49}สร้าง
UI_20150317_000039	{@st49}ลบ
UI_20150317_000040	{@st44}บันทึก{/}
UI_20150317_000041	{@st44}ยกเลิก{/}
UI_20150317_000042	{@st43}{s22}ร้านค้าทรงผม{/}
UI_20150317_000043	{@st59}ทรงผมก่อนหน้า{/}
UI_20150317_000044	{@st59}ทรงผมถัดไป{/}
UI_20150317_000045	{@st41b} เปลี่ยน {s18} (ต้องใช้ 100 iCoins) {/}
UI_20150317_000046	{@st59}เปลี่ยนทรงผมเป็นแบบที่เลือกไว้{/}
UI_20150317_000047	{@st41}ยกเลิก
UI_20150317_000048	{@st43}ตลาดมืด{/}
UI_20150317_000049	ชื่อหนังสือ
UI_20150317_000050	{@St59}เลิกอ่าน{/}
UI_20150317_000051	{@st59}หน้าก่อนหน้า{/}
UI_20150317_000052	{@st59}หน้าถัดไป{/}
UI_20150317_000053	{@st47}%s ปรากฏตัวแล้ว!
UI_20150317_000054	{@st43}คะแนน{/}
UI_20150317_000055	ความเสียหายที่ได้รับ
UI_20150317_000056	โบนัสเทคนิค
UI_20150317_000057	โบนัสหลบหลีก
UI_20150317_000058	เวลาผ่านด่าน
UI_20150317_000059	คะแนนรวม
UI_20150317_000060	{@st42}เวลาที่ใช้ไป
UI_20150317_000061	10 นาที
UI_20150317_000062	10 วินาที
UI_20150317_000063	{@st44}เสร็จสมบูรณ์
UI_20150317_000064	{@st59}ปิด{/}
UI_20150317_000065	{@st43}ตู้กดบัฟ
UI_20150317_000066	ชื่อตู้กดบัฟ
UI_20150317_000067	{@st43}ลงทะเบียน
UI_20150317_000068	{@st43}ยกเลิก
UI_20150317_000069	ตู้กดบัฟ
UI_20150317_000070	{@st59}ปิด
UI_20150317_000071	{@st59}ตู้กดบัฟ{nl} - คุณสามารถใช้ Silver จ่ายแลกกับบัฟจากผู้เล่นอื่นได้
UI_20150317_000072	Carriage Menu
UI_20150317_000073	{ol}{s22}Disembark{/}
UI_20150317_000074	กำลังร่าย
UI_20150317_000075	{@st43}ตั้งค่าเกม{/}
UI_20150317_000076	{@st64}ใช้ปุ่มลูกศรเพื่อเลื่อนไปในแต่ละช่อง!
UI_20150317_000077	{@st43}ข้อมูลการเลื่อนขั้น {/}
UI_20150317_000078	{@st43}เลือกอาชีพ
UI_20150317_000079	Psychokinesist
UI_20150317_000080	{@st42}%s Circle {/}
UI_20150317_000081	How many circles
UI_20150317_000082	แสดงคำอธิบายโดยย่อของอาชีพนั้น
UI_20150317_000083	{@st41b}โจมตี {@sti7}%s{/}
UI_20150317_000084	{@st41b}สนับสนุน {@sti7}%s{/}
UI_20150317_000085	{@st41b}ระดับความยาก{@sti7}%s{/}
UI_20150317_000086	{@st59}ปิด{/}
UI_20150317_000087	แจ้งเตือนการเลื่อนขั้น
UI_20150317_000088	{@st43} การเลื่อนขั้น
UI_20150317_000089	{@sti7}{s14} ตัวละคร {/}
UI_20150317_000090	{@sti8}{s14} อาชีพ {/}
UI_20150317_000091	{@st44}แชท{/}
UI_20150317_000092	ถึง. WWWWWWWW และอีก 1 คน
UI_20150317_000093	ทั่วไป: /s ข้อความ {nl} ตะโกน: /y ข้อความ {nl} ปาร์ตี้: /p ข้อความ{nl} กระซิบ: /w ชื่อตัวละคร ข้อความ
UI_20150317_000094	{@st41}แชททั้งหมด{/}
UI_20150317_000095	{@59}ออก{/}
UI_20150317_000096	{@59}เชิญ{/}
UI_20150317_000097	{@st59}ทั้งหมด{/}
UI_20150317_000098	{@st59}ทั่วไป (/s ข้อความ){/}
UI_20150317_000099	{@st59}ตะโกน (/y ข้อความ){/}
UI_20150317_000100	{@st59}ปาร์ตี้ (/p ข้อความ){/}
UI_20150317_000101	{@st59}กระซิบ (/w ชื่อทีม ข้อความ){/}
UI_20150317_000102	{@st59}ปรับหน้าต่างแชท{/}
UI_20150317_000103	{@st43}{s22}มาโครแชท{/}
UI_20150317_000104	{@st43}มาโคร{/}
UI_20150317_000105	{@st59b}มาโคร {nl} {@st59s} - วิธีการใช้: {nl} 1. ลากไอคอนท่าทางไปวางในช่องใส่ท่าทางด้านล่าง {nl} 2. เขียนข้อความที่คุณต้ิองการแล้วกดบันทึก {nl} 3. กดคีย์ลัดเพื่อทำท่าทางและพูดข้อความที่ตั้งไว้ไปพร้อมๆ กัน {/}
UI_20150317_000106	{@st59}ปิด{/}
UI_20150317_000107	{@st41b}บันทึก{/}
UI_20150317_000108	{@st59}บันทึก{/}
UI_20150317_000109	{@st41b}ยกเลิก{/}
UI_20150317_000110	{@st59}ยกเลิก{/}
UI_20150317_000111	{@st42}ตั้งค่าแชท
UI_20150317_000112	{@st42}ความโปร่งใส
UI_20150317_000113	แสดงบอลลูนแชท
UI_20150317_000114	แสดงตะโกนไว้ด้านบนสุด
UI_20150317_000115	{@st43}รายชื่อสูตร{/}
UI_20150317_000116	{@st42b}ไอเทม{/}
UI_20150317_000117	{@st42b}มอนสเตอร์{/}
UI_20150317_000118	{@st42b}ย้ายแผนที่{/}
UI_20150317_000119	{@st42b}Combat Order{/}
UI_20150317_000120	{@st41b}ปิด{/}
UI_20150317_000121	{s16}{b}สร้างไอเทมโดยคลิกที่ปุ่ม สร้าง หรือดับเบิ้ลคลิก
UI_20150317_000122	{s16}{b}ea
UI_20150317_000123	{s16}{b}Lv.
UI_20150317_000124	{@st41b}ค้นหา{/}
UI_20150317_000125	{s16}{b}เรียกมอนสเตอร์ออกมาโดยคลิกที่ปุ่ม สร้าง หรือดับเบิ้ลคลิก
UI_20150317_000126	{s16}{b}ea
UI_20150317_000127	{s16}{b}เลือกพื้นที่ที่ต้องการ
UI_20150317_000128	{s18}{b}ดูแผนที่ย่อ{/}
UI_20150317_000129	{@st41b}รายการเครื่องมือ{/}
UI_20150317_000130	{@st59b}คอลเลกชัน {nl}{@st59s}- ซื้อ Collection Deck เพื่อเก็บไอเทมที่สะสมได้ไว้ในคอลเลกชันของคุณ {nl} - คีย์ลัดของคอลเลกชันจะกดใช้ได้เมื่อคุณใช้งานไอเทม Collection Deck {nl} {/}
UI_20150317_000131	{@st59}ปิด{/}
UI_20150317_000132	{@st43}คอลเลกชัน{/}
UI_20150317_000133	{@st43}สเปรย์สี{/}
UI_20150317_000134	{@st49}สเปรย์สี{/}
UI_20150317_000135	{@st49}สี{/}
UI_20150317_000136	{@st49}คงเหลือ{/}
UI_20150317_000137	{@st49}แปรง{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}วาด{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}บันทึก{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}นำเข้า{/}{/}
UI_20150317_000141	{@st49}ปิด{/}
UI_20150317_000142	{@st43}การรับเลี้ยงสัตว์
UI_20150317_000143	{@st59}ตั้งชื่อสัตว์เลี้ยงตัวใหม่ของคุณ {/}
UI_20150317_000144	{@st41b}ชื่อ{/}
UI_20150317_000145	{@st41b}ราคา %s{/}
UI_20150317_000146	{@st59}ปิด{/}
UI_20150317_000147	{@st41b}รับเลี้ยง
UI_20150317_000148	{@st59}ยืนยัน{/}
UI_20150317_000149	{@st43}ร้านค้าสัตว์เลี้ยง
UI_20150317_000150	{@st59}ปิด{/}
UI_20150317_000151	{@st43}ข้อมูลตัวละครอื่น{/}{@st42}
UI_20150317_000152	{@st59}ปิด{/}
UI_20150317_000153	{@st41b}ข้อมูล
UI_20150317_000154	{@st41b}สถิติ
UI_20150317_000155	ชื่อทีม
UI_20150317_000156	ชื่อตัวละคร
UI_20150317_000157	Circle {#ffff00}%s{/} %s Lv. {#ffff00}%s{/}
UI_20150317_000158	Warrior
UI_20150317_000159	ดัชนีผจญภัย {#ffff00}%s{/} (อันดับ{#ffff00}%s{/}/%s)
